CASRN,CSID,prefLabel,Altlabel,Description
78-79-5,CS003037,"2-methyl-1,3-butadiene",isoprene,An unsaturated aliphatic terpene hydrocarbon with formula C5H8.
638-36-8,CS003230,"2,6,10,14-tetramethylhexadecane",phytane,A saturated aliphatic terpene hydrocarbon with formula C20H42.
1921-70-6,CS003231,"2,6,10,14-tetramethylpentadecane",pristane,A saturated aliphatic terpene hydrocarbon with formula C19H40.
629-97-0,CS000473,docosane,C22H46 C22_n-alkane,A saturated aliphatic long-chain hydrocarbon.
544-85-4,CS000522,dotriacontane,C32H66 C32_n-alkane,A saturated aliphatic long-chain hydrocarbon.
112-95-8,CS000536,eicosane,C20H42 C20_n-alkane icosane,A saturated aliphatic long-chain hydrocarbon.
629-94-7,CS000599,heneicosane,C21H44 C21_n-alkane henicosane,A saturated aliphatic long-chain hydrocarbon.
630-04-6,CS001292,hentriacontane,C31H64 C31_n-alkane,A saturated aliphatic long-chain hydrocarbon.
593-49-7,CS000620,heptacosane,C27H56 C27_n-alkane,A saturated aliphatic long-chain hydrocarbon.
629-78-7,CS000634,heptadecane,C17H36 C17_n-alkane,A saturated aliphatic long-chain hydrocarbon.
7194-84-5,CS003305,heptatriacontane,C37H76 C37_n-alkane,A saturated aliphatic long-chain hydrocarbon.
630-01-3,CS000655,hexacosane,C26H54 C26_n-alkane,A saturated aliphatic long-chain hydrocarbon.
544-76-3,CS003308,hexadecane,C16H34 C16_n-alkane,A saturated aliphatic long-chain hydrocarbon.
630-06-8,CS001334,hexatriacontane,C36H74 C36_n-alkane,A saturated aliphatic long-chain hydrocarbon.
630-03-5,CS001376,nonacosane,C29H60 C29_n-alkane,A saturated aliphatic long-chain hydrocarbon.
629-92-5,CS000753,nonadecane,C19H40 C19_n-alkane,A saturated aliphatic long-chain hydrocarbon.
7194-86-7,CS003181,nonatriacontane,C39H80 C39_n-alkane,A saturated aliphatic long-chain hydrocarbon.
630-02-4,CS000760,octacosane,C28H58 C28_n-alkane,A saturated aliphatic long-chain hydrocarbon.
593-45-3,CS000774,octadecane,C18H38 C18_n-alkane,A saturated aliphatic long-chain hydrocarbon.
7194-85-6,CS003180,octatriacontane,C38H78 C38_n-alkane,A saturated aliphatic long-chain hydrocarbon.
629-99-2,CS000788,pentacosane,C25H52 C25_n-alkane,A saturated aliphatic long-chain hydrocarbon.
629-62-9,CS003159,pentadecane,C15H32 C15_n-alkane,A saturated aliphatic long-chain hydrocarbon.
630-07-9,CS003157,pentatriacontane,C35H72 C35_n-alkane,A saturated aliphatic long-chain hydrocarbon.
4181-95-7,CS003140,tetracontane,C40H82 C40_n-alkane,A saturated aliphatic long-chain hydrocarbon.
646-31-1,CS000865,tetracosane,C24H50 C24_n-alkane,A saturated aliphatic long-chain hydrocarbon.
629-59-4,CS003141,tetradecane,C14H30 C14_n-alkane,A saturated aliphatic long-chain hydrocarbon.
14167-59-0,CS003137,tetratriacontane,C34H70 C34_n-alkane,A saturated aliphatic long-chain hydrocarbon.
638-68-6,CS000907,triacontane,C30H62 C30_n-alkane,A saturated aliphatic long-chain hydrocarbon.
638-67-5,CS000928,tricosane,C23H48 C23_n-alkane,A saturated aliphatic long-chain hydrocarbon.
630-05-7,CS001257,tritriacontane,C33H68 C33_n-alkane,A saturated aliphatic long-chain hydrocarbon.
111-02-4,CS003158,squalene,,An unsaturated aliphatic terpene hydrocarbon.
75-83-2,CS003221,"2,2-dimethylbutane",neohexane,A saturated aliphatic hydrocarbon.
463-82-1,CS003222,"2,2-dimethylpropane",neopentane,A saturated aliphatic hydrocarbon.
78-78-4,CS003223,2-methylbutane,isopentane,A saturated aliphatic hydrocarbon.
107-83-5,CS003224,2-methylpentane,isohexane,A saturated aliphatic hydrocarbon.
75-28-5,CS003225,2-methylpropane,isobutane,A saturated aliphatic hydrocarbon.
96-14-0,CS003189,3-methylpentane,,A saturated aliphatic hydrocarbon.
106-97-8,CS003273,butane,C4H10 C4_n-alkane,A saturated aliphatic hydrocarbon.
74-84-0,CS003306,ethane,,A saturated aliphatic hydrocarbon.
142-82-5,CS003320,heptane,C7H16 C7_n-alkane,A saturated aliphatic hydrocarbon.
110-54-3,CS003309,hexane,C6H14 C6_n-alkane,A saturated aliphatic hydrocarbon.
74-82-8,CS002920,methane,CH4,A saturated aliphatic hydrocarbon.
109-66-0,CS003160,pentane,C5H12 C5_n-alkane,A saturated aliphatic hydrocarbon.
74-98-6,CS003161,propane,,A saturated aliphatic hydrocarbon.
590-19-2,CS003261,"1,2-butadiene",,An unsaturated aliphatic hydrocarbon.
106-99-0,CS003227,"1,3-butadiene",,An unsaturated aliphatic hydrocarbon.
106-98-9,CS003228,1-butene,,An unsaturated aliphatic hydrocarbon.
592-41-6,CS003229,1-hexene,,An unsaturated aliphatic hydrocarbon.
109-67-1,CS003220,1-pentene,,An unsaturated aliphatic hydrocarbon.
590-18-1,CS003274,cis-2-butene,,An unsaturated aliphatic hydrocarbon.
627-20-3,CS003292,cis-2-pentene,,An unsaturated aliphatic hydrocarbon.
74-85-1,CS003307,ethene,ethylene C2H4,An unsaturated aliphatic hydrocarbon.
74-86-2,CS003298,ethyne,acetylene,An unsaturated aliphatic hydrocarbon.
115-11-7,CS003182,methylpropene,i-butene isobutene C4H8,An unsaturated aliphatic hydrocarbon.
115-07-1,CS003162,propene,propylene,An unsaturated aliphatic hydrocarbon.
624-64-6,CS003142,trans-2-butene,,An unsaturated aliphatic hydrocarbon.
646-04-8,CS003143,trans-2-pentene,,An unsaturated aliphatic hydrocarbon.
